,symbol,sector,previousClose,sharesOutstanding
1,PAGEIND.NS,Consumer Cyclical,38253.55,11153900
1,PERSISTENT.NS,Technology,4392.6,76425000
1,PETRONET.NS,Energy,224.3,1500000000
1,PFIZER.NS,Healthcare,4934.4,45747700
1,PHILIPCARB.NS,Basic Materials,230.35,172338000
1,PHOENIXLTD.NS,Real Estate,992,172067008
1,PIDILITIND.NS,Basic Materials,2235,508152992
1,PEL.NS,Healthcare,2518.05,237128000
1,POLYMED.NS,Healthcare,1050.55,95880600
1,POLYCAB.NS,Industrials,2361.55,149128992
1,POLYPLEX.NS,Basic Materials,1863.25,31392500
1,POONAWALLA.NS,,196.8,
1,PFC.NS,Financial Services,121.55,2640079872
1,POWERGRID.NS,Utilities,214.5,5231589888
1,PRAJIND.NS,Industrials,320.85,183588992
1,PRESTIGE.NS,Real Estate,446.35,400862016
1,PRINCEPIPE.NS,Basic Materials,742.85,110026000
1,PRSMJOHNSN.NS,Basic Materials,128.25,503360000
1,PGHL.NS,Healthcare,5298.05,16599400
1,PGHH.NS,Consumer Defensive,15272.4,32460700
1,PNB.NS,Financial Services,38.5,11011000320
1,QUESS.NS,Industrials,853.45,147679008
1,RBLBANK.NS,Financial Services,192.05,599395008
1,RECLTD.NS,Financial Services,134.5,1974919936
1,RHIM.NS,Industrials,339.35,
1,RITES.NS,Industrials,274.5,240302000
1,RADICO.NS,Consumer Defensive,1087.35,133568000
1,RVNL.NS,Industrials,34.4,2085020032
1,RAILTEL.NS,Communication Services,119.4,320937984
1,RAIN.NS,Basic Materials,213,336345984
1,RAJESHEXPO.NS,Consumer Cyclical,780.3,295260000
1,RALLIS.NS,Basic Materials,252.9,194468992
1,RCF.NS,Basic Materials,73.2,551688000
1,RATNAMANI.NS,Basic Materials,2118.2,46728000
1,REDINGTON.NS,Technology,151,390342016
1,RELAXO.NS,Consumer Cyclical,1280.65,248442000
1,RELIANCE.NS,Energy,2482.85,6762070016
1,ROSSARI.NS,Basic Materials,1292.2,55054900
1,ROUTE.NS,Communication Services,1799.55,57713600
1,SBICARD.NS,Financial Services,980.9,941027968
1,SBILIFE.NS,Financial Services,1188.05,1000110016
1,SIS.NS,Industrials,493.45,148364992
1,SJVN.NS,Utilities,27.9,3929799936
1,SKFINDIA.NS,Industrials,3830.7,49438000
1,SRF.NS,Basic Materials,2089.7,296420992
1,SANOFI.NS,Healthcare,7892.9,23030600
1,SCHAEFFLER.NS,Industrials,7856.9,31260700
1,SCHNEIDER.NS,Industrials,105.15,239104000
1,SEQUENT.NS,Healthcare,153,248371008
1,SHARDACROP.NS,Basic Materials,311.45,90220496
1,SFL.NS,Consumer Cyclical,3331.4,48782800
1,SHILPAMED.NS,Healthcare,562.5,81526896
1,SCI.NS,Industrials,157.2,465799008
1,SHREECEM.NS,Basic Materials,26289.8,36080700
1,SHRIRAMCIT.NS,Financial Services,2112,66005000
1,SRTRANSFIN.NS,Financial Services,1448.95,267048000
1,SIEMENS.NS,Industrials,2198.15,356120000
1,SOBHA.NS,Real Estate,844.65,94845904
1,SOLARINDS.NS,Basic Materials,2798.4,90490096
1,SOLARA.NS,Healthcare,1179.05,35929800
1,SONACOMS.NS,,758.95,
1,SONATSOFTW.NS,Technology,843,105159000
1,SPANDANA.NS,Financial Services,446.75,64315500
1,SPICEJET.NS,Industrials,71.4,600937024
1,STARCEMENT.NS,Basic Materials,96.35,404180000
1,SBIN.NS,Financial Services,477,8924609536
1,SAIL.NS,Basic Materials,104.55,4130530048
1,SWSOLAR.NS,Technology,396.35,160360000
1,STLTECH.NS,Technology,271.7,396628000
1,STAR.NS,Healthcare,491.25,89661000
1,SUDARSCHEM.NS,Basic Materials,562.1,69227200
1,SUMICHEM.NS,Basic Materials,370.75,499145984
1,SPARC.NS,Healthcare,248.85,262048000
1,SUNPHARMA.NS,Healthcare,766.25,2399330048
1,SUNTV.NS,Communication Services,533.65,394084992
1,SUNDARMFIN.NS,Financial Services,2330.3,111105000
1,SUNDRMFAST.NS,Consumer Cyclical,859.25,210128000
1,SUNTECK.NS,Real Estate,436.65,146394000
1,SUPRAJIT.NS,Consumer Cyclical,419.15,139872000
1,SUPREMEIND.NS,Industrials,2397.7,127027000
1,SUPPETRO.NS,Basic Materials,700.25,94020704
1,SUVENPHAR.NS,Healthcare,498.1,254564992
1,SUZLON.NS,Industrials,7.05,8901780480
1,SYMPHONY.NS,Consumer Cyclical,970.3,69957000
1,SYNGENE.NS,Healthcare,589.15,400796992
1,TCIEXP.NS,Industrials,2312.25,38434500
1,TCNSBRANDS.NS,Consumer Cyclical,814.95,61522500
1,TTKPRESTIG.NS,Consumer Cyclical,10374.2,13861400
1,TV18BRDCST.NS,Communication Services,41,1714360064
1,TVSMOTOR.NS,Consumer Cyclical,680.25,475087008
1,TANLA.NS,Technology,1449.05,135746000
1,TASTYBITE.NS,Consumer Defensive,13351.25,2566000
1,TATACHEM.NS,Basic Materials,900,254756000
1,TATACOFFEE.NS,Consumer Defensive,205.35,186770000
1,TATACOMM.NS,Communication Services,1275.8,285000000
1,TCS.NS,Technology,3642.9,3699049984
1,TATACONSUM.NS,Consumer Defensive,773.25,921552000
1,TATAELXSI.NS,Technology,5979.75,62276400
1,TATAMTRDVR.NS,Consumer Cyclical,262.05,508503008
1,TATAMOTORS.NS,Consumer Cyclical,479.1,3320310016
1,TATAPOWER.NS,Utilities,226.4,3195340032
1,TATASTLLP.NS,Basic Materials,734.55,45100000
1,TATASTEEL.NS,Basic Materials,1112.4,1125309952
1,TTML.NS,Communication Services,124.05,1954930048
1,TEAMLEASE.NS,Industrials,4194.75,17096800
1,TECHM.NS,Technology,1629.65,968988992
1,NIACL.NS,Financial Services,145.05,1648000000
1,RAMCOCEM.NS,Basic Materials,950.95,235890000
1,THERMAX.NS,Industrials,1782.1,119156000
1,THYROCARE.NS,Healthcare,1088.7,52903300
1,TIMKEN.NS,Industrials,2132.45,75218704
1,TITAN.NS,Consumer Cyclical,2386.5,887800000
1,TORNTPHARM.NS,Healthcare,2971.15,169223008
1,TORNTPOWER.NS,Utilities,562.05,480616992
1,TRENT.NS,Consumer Cyclical,1031.35,355487008
1,TRIDENT.NS,Consumer Cyclical,46.95,5095960064
1,TRITURBINE.NS,Industrials,182.45,323304992
1,TIINDIA.NS,Consumer Cyclical,1669.6,192820992
1,UCOBANK.NS,Financial Services,13.1,11955999744
1,UFLEX.NS,Consumer Cyclical,502.45,72211504
1,UPL.NS,Basic Materials,698.2,764044992
1,UTIAMC.NS,Financial Services,1045.15,126787000
1,UJJIVAN.NS,Financial Services,136.1,121667000
1,UJJIVANSFB.NS,Financial Services,18.6,1728310016
1,ULTRACEMCO.NS,Basic Materials,7323.2,288451008
1,UNIONBANK.NS,Financial Services,46.3,6834749952
1,UBL.NS,Consumer Defensive,1515.05,264404992
1,MCDOWELL-N.NS,Consumer Defensive,887.95,726638976
1,VGUARD.NS,Industrials,238.05,430188000
1,VMART.NS,Consumer Cyclical,3955.85,19711100
1,VIPIND.NS,Consumer Cyclical,545.85,141432000
1,VAIBHAVGBL.NS,Consumer Cyclical,524.7,163208000
1,VAKRANGEE.NS,Technology,34.6,1059409984
1,VALIANTORG.NS,Basic Materials,1054.25,27153500
1,VTL.NS,Consumer Cyclical,1965.3,57688400
1,VARROC.NS,Consumer Cyclical,298.45,152786000
1,VBL.NS,Consumer Defensive,911.05,433032992
1,VEDL.NS,Basic Materials,337.9,3717199872
1,VENKEYS.NS,Consumer Defensive,2660.05,14087300
1,VINATIORGA.NS,Basic Materials,1927.05,102782000
1,IDEA.NS,Communication Services,12.8,28735399936
1,VOLTAS.NS,Industrials,1230.4,330884992
1,WABCOINDIA.NS,Consumer Cyclical,8048.85,18967600
1,WELCORP.NS,Basic Materials,170.2,260948992
1,WELSPUNIND.NS,Consumer Cyclical,141.7,988057984
1,WESTLIFE.NS,Consumer Cyclical,551.75,155803008
1,WHIRLPOOL.NS,Consumer Cyclical,2040.05,126872000
1,WIPRO.NS,Technology,646.8,5459820032
1,WOCKPHARMA.NS,Healthcare,431.05,110816000
1,YESBANK.NS,Financial Services,12.6,25054900224
1,ZEEL.NS,Communication Services,342.15,960515968
1,ZENSARTECH.NS,Technology,440.3,225660000
1,ZYDUSWELL.NS,Consumer Defensive,1946.6,63632100
1,ECLERX.NS,Technology,2129.5,34889600
