,symbol,sector,previousClose,sharesOutstanding,market_cap,socialScore,governanceScore,environmentScore,totalEsg,percentile,peerCount,peerGroup,highestControversy,esgPerformance
178,GNFC.ns,Basic Materials,426.1,155419008,66224039308.8,,,,,,,,,
179,GPPL.ns,Industrials,99.8,483440000,48247312000.0,,,,,,,,,
180,GSFC.ns,Basic Materials,114,398478016,45426493824,,,,,,,,,
181,GSPL.ns,Utilities,305.25,564211008,172225410192.0,,,,,,,,,
182,HEG.ns,Industrials,1791.5,38595500,69143838250.0,,,,,,,,,
183,HCLTECH.ns,Technology,1184.7,2713669888,3214884716313.6,9.2,6.13,1.13,16.46,12.49,99,Software & Services,1,LAG_PERF
184,HDFCAMC.ns,Financial Services,2556.7,213192000,545067986399.99994,,,,,,,,,
185,HDFCBANK.ns,Financial Services,1525.75,5540960256,8454120110592.0,12.9,12.96,2.38,28.24,52.96,165,Banks,2,AVG_PERF
186,HDFCLIFE.ns,Financial Services,705.3,2021670016,1425883862284.7998,,,,,,,,,
187,HFCL.ns,Technology,72,1284380032,92475362304,,,,,,,,,
188,HAPPSTMNDS.ns,Technology,1219.45,146864000,179093304800.0,,,,,,,,,
189,HATHWAY.ns,Communication Services,20.75,1770099968,36729574336.0,,,,,,,,,
190,HATSUN.ns,Consumer Defensive,1325.1,215563008,285642541900.8,,,,,,,,,
191,HAVELLS.ns,Industrials,1379.15,626302976,863765749350.4,,,,,,,,,
192,HEIDELBERG.ns,Basic Materials,227.15,226612992,51475141132.8,,,,,,,,,
193,HEMIPROP.ns,Real Estate,132.6,285000000,37791000000.0,,,,,,,,,
194,HEROMOTOCO.ns,Consumer Cyclical,2472.7,199790000,494020732999.99994,3.39,6.73,2.3,12.42,4.29,37,Automobiles,1,LAG_PERF
195,HIKAL.ns,Healthcare,512.95,123301000,63247247950.00001,,,,,,,,,
196,HINDALCO.ns,Basic Materials,432.1,2230850048,963950305740.8,10.36,10.42,13.37,34.16,73.48,26,Diversified Metals,3,OUT_PERF
197,HGS.ns,Industrials,2842.35,20880900,59350826115.0,,,,,,,,,
198,HAL.ns,Industrials,1300.85,334387008,434987339356.8,,,,,,,,,
199,HINDCOPPER.ns,Basic Materials,118.25,967024000,114350588000.0,,,,,,,,,
200,HINDPETRO.ns,Energy,300.55,1418550016,426345207308.8,10.18,7.22,22.08,39.49,85.72,37,Refiners & Pipelines,2,OUT_PERF
201,HINDUNILVR.ns,Consumer Defensive,2383.3,2349590016,5599777885132.801,8.7,6.62,10.67,25.98,44.8,27,Household Products,2,AVG_PERF
202,HINDZINC.ns,Basic Materials,333.3,4225319936,1408299134668.8,,,,,,,,,
203,HOMEFIRST.ns,Financial Services,815.65,87560000,71418314000.0,,,,,,,,,
204,HONAUT.ns,Industrials,38383.25,8841520,339366272540.0,,,,,,,,,
205,HUDCO.ns,Financial Services,39.95,2001900032,79975906278.40001,,,,,,,,,
206,HDFC.ns,Financial Services,2807.8,1803949952,5065130675225.601,7.29,9.45,2.25,18.99,18.43,175,Banks,2,LAG_PERF
207,ICICIBANK.ns,Financial Services,722.4,6940279808,5013658133299.2,17.94,15.64,2.35,35.94,78.44,165,Banks,3,OUT_PERF
208,ICICIGI.ns,Financial Services,1463.7,490702016,718240540819.2001,,,,,,,,,
209,ICICIPRULI.ns,Financial Services,608.7,1436540032,874421917478.4,,,,,,,,,
210,ISEC.ns,Financial Services,747.4,322663008,241158332179.19998,,,,,,,,,
211,IDBI.ns,Financial Services,47.1,10752400384,506438058086.4,,,,,,,,,
212,IDFCFIRSTB.ns,Financial Services,46.95,6213879808,291741656985.60004,,,,,,,,,
213,IDFC.ns,Financial Services,51.85,1596440064,82775417318.40001,,,,,,,,,
214,IFBIND.ns,Technology,1145.15,40518800,46400103820.0,,,,,,,,,
215,IIFL.ns,Financial Services,317.8,378975008,120438257542.40001,,,,,,,,,
216,IIFLWAM.ns,Financial Services,1521.35,87934800,133779607979.99998,,,,,,,,,
217,IOLCP.ns,Healthcare,454.2,58705500,26664038100.0,,,,,,,,,
218,IRB.ns,Industrials,226.2,351449984,79497986380.8,,,,,,,,,
219,IRCON.ns,Industrials,45.4,940515968,42699424947.2,,,,,,,,,
220,ITC.ns,Consumer Defensive,225.45,12322400256,2778085137715.1997,12.28,8.01,7.15,27.43,49.96,92,Food Products,2,AVG_PERF
221,ITI.ns,Technology,109.8,933523008,102500826278.4,,,,,,,,,
222,INDIACEM.ns,Basic Materials,185.85,309896992,57594355963.2,,,,,,,,,
223,IBULHSGFIN.ns,Financial Services,256.4,462428000,118566539199.99998,,,,26.55,46.91,165,Banks,1,AVG_PERF
224,IBREALEST.ns,Real Estate,172.5,454664000,78429540000.0,,,,,,,,,
225,INDIAMART.ns,Communication Services,7367.6,30344100,223563191160.0,,,,,,,,,
226,INDIANB.ns,Financial Services,143.7,1129369984,162290466700.8,,,,,,,,,
227,IEX.ns,Financial Services,243.2,898670016,218556547891.19998,,,,,,,,,
228,INDHOTEL.ns,Consumer Cyclical,184.2,1189260032,219061697894.4,,,,,,,,,
229,IOC.ns,Energy,120.65,9414160384,1135818450329.6,9.53,7.18,18.1,34.8,75.32,37,Refiners & Pipelines,2,LEAD_PERF
230,IOB.ns,Financial Services,20.95,18902401024,396005301452.8,,,,,,,,,
231,IRCTC.ns,Industrials,821.25,160000000,131400000000.0,,,,,,,,,
232,IRFC.ns,Financial Services,23.25,13068499968,303842624256.0,,,,,,,,,
233,INDIGOPNTS.ns,Basic Materials,2222.3,47569000,105712588700.00002,,,,,,,,,
234,ICIL.ns,Consumer Cyclical,229.65,197400000,45332910000.0,,,,,,,,,
235,INDOCO.ns,Healthcare,397.45,92150400,36625176480.0,,,,,,,,,
236,IGL.ns,Utilities,498.1,700001024,348670510054.4,,,,,,,,,
237,INDUSTOWER.ns,Communication Services,278.8,2694789888,751307420774.4,8.97,7.13,6.24,22.34,30.84,66,Telecommunication Services,0,
238,INDUSINDBK.ns,Financial Services,945.55,773841984,731706287971.2,,,,,,,,,
239,INFIBEAM.ns,Technology,40.85,1332039936,54413831385.6,,,,,,,,,
240,NAUKRI.ns,Communication Services,5878.35,128784000,757037426400.0,,,,,,,,,
241,INFY.ns,Technology,1748.25,4261270016,7449765305472.0,7.69,6.52,1.07,15.28,8.8,103,Software & Services,2,LAG_PERF
242,INGERRAND.ns,Industrials,1208.5,31568000,38149928000.0,,,,,,,,,
243,INOXLEISUR.ns,Communication Services,364.65,108312000,39495970800.0,,,,,,,,,
244,INTELLECT.ns,Technology,637.3,133754000,85241424200.0,,,,,,,,,
245,INDIGO.ns,Industrials,1912.05,384863008,735877314446.4,,,,,,,,,
246,IPCALAB.ns,Healthcare,2071.25,126852000,262742205000.0,,,,,,,,,
247,JBCHEPHARM.ns,Healthcare,1589.15,77282096,122812842858.40001,,,,,,,,,
