,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Ann,ROE,ROA
604,Acrysil,883.7,41.92,2359.32,0.23,17.69,88.39,119.41,57.89,22.49,39.11,22.4,10.98
605,Thirumalai Chem.,229.55,9.95,2358.13,0.96,50.6,206.11,477.1,78.22,19.55,117.64,16.33,9.25
606,I G Petrochems,763.8,8.41,2347.99,0.98,65.04,180.71,471.08,94.37,28.95,188.39,25.9,15.16
607,Jai Corp,131.2,21.2,2341.26,0.38,12.68,26.55,187.33,58.08,3.85,28.13,1.92,1.8
608,Vesuvius India,1140.95,32.61,2320.16,0.61,19.4,58.63,267.59,26.03,8.77,53.04,6.44,5.2
609,Krsnaa Diagnost.,739.45,12.5,2315.76,0.0,12.54,-44.56,108.26,-27.9,129.3,185.25,1061.6,30.01
610,Eveready Inds.,319.9,7.78,2310.59,0.0,31.04,-45.75,357.49,-4.06,24.72,316.67,79.13,27.87
611,Subros,351.9,37.09,2298.34,0.2,4.95,-72.08,529.48,15.58,8.33,47.67,6.16,3.36
612,Mrs Bectors,390.2,35.41,2296.86,0.62,18.09,-21.31,246.26,7.94,21.05,72.29,19.26,11.59
613,Ramco Inds.,262.85,6.38,2279.74,0.38,143.55,82.1,311.23,19.04,5.23,279.21,8.34,7.24
614,Apollo Pipes,577.7,40.81,2275.75,0.0,14.05,47.89,208.17,68.83,16.49,44.47,13.94,9.11
615,Goodyear India,984.4,14.35,2270.32,9.96,39.16,-19.36,698.26,45.14,20.91,136.26,15.53,10.1
616,Mayur Uniquoters,507.85,20.04,2268.85,0.39,29.53,47.87,196.02,55.88,18.57,86.32,14.38,11.89
617,Navneet Educat.,99.25,67.9,2260.28,1.01,5.03,147.1,231.17,41.19,5.29,55.93,6.24,2.33
618,India Power Corp,23.2,90.04,2259.19,0.22,1.61,-53.6,141.75,10.71,2.99,26.13,1.6,1.03
619,Neuland Labs.,1746.25,30.63,2239.98,0.29,20.37,-4.99,257.85,6.82,11.37,70.82,9.47,5.54
620,Bengal & Assam,1982.65,3.05,2239.67,0.38,125.76,22.78,3379.5,32.07,11.88,495.49,13.6,4.6
621,Fairchem Organic,1716.1,29.64,2235.81,0.2,20.9,130.68,167.99,76.85,30.71,42.45,30.06,17.78
622,Pilani Invest.,2002.5,12.9,2215.73,0.75,79.12,156.88,97.97,58.14,2.37,96.66,1.29,1.16
