symbol,returnOnEquity,returnOnAssets,dividendYield,cluster,sector
POLYPLEX.NS,15.96,9.14,8.86,0,Basic Materials
PRAJIND.NS,10.65,4.11,0.67,1,Industrials
PRESTIGE.NS,25.28,2.73,0.34,1,Real Estate
QUESS.NS,3.08,2.75,1.7,1,Industrials
RITES.NS,18.6,6.71,6.92,0,Industrials
RAIN.NS,16.08,4.66,0.44,1,Basic Materials
RAJESHEXPO.NS,9.61,3.99,0.13,1,Consumer Cyclical
RALLIS.NS,12.0,5.34,1.22,1,Basic Materials
RATNAMANI.NS,14.93,8.31,0.69,1,Basic Materials
ROSSARI.NS,16.87,8.54,0.04,1,Basic Materials
ROUTE.NS,23.57,10.91,0.11,1,Communication Services
SBILIFE.NS,12.01,0.38,0.21,1,Financial Services
SJVN.NS,13.4,5.36,8.47,0,Utilities
SKFINDIA.NS,28.49,16.2,0.38,1,Industrials
SRF.NS,22.85,9.9,0.3,1,Basic Materials
SCHAEFFLER.NS,16.91,9.94,0.55,1,Industrials
SHARDACROP.NS,15.19,5.91,1.16,1,Basic Materials
SHILPAMED.NS,2.49,1.39,0.19,1,Healthcare
SCI.NS,7.5,2.58,0.17,1,Industrials
SHREECEM.NS,17.24,9.35,0.21,1,Basic Materials
SHRIRAMCIT.NS,13.25,3.12,1.53,1,Financial Services
SIEMENS.NS,10.58,4.6,0.34,1,Industrials
SOBHA.NS,4.07,3.99,0.41,1,Real Estate
SBIN.NS,10.43,0.64,0.8,1,Financial Services
SUNTV.NS,23.85,14.42,4.6,0,Communication Services
SUNDRMFAST.NS,16.63,8.1,0.62,1,Consumer Cyclical
SUPRAJIT.NS,21.26,9.22,0.42,1,Consumer Cyclical
SUPREMEIND.NS,39.87,19.35,1.04,1,Industrials
TCIEXP.NS,31.47,20.13,0.27,1,Industrials
TTKPRESTIG.NS,21.01,11.41,0.8,1,Consumer Cyclical
TVSMOTOR.NS,15.54,5.21,0.57,1,Consumer Cyclical
TANLA.NS,50.17,20.71,0.16,1,Technology
TATACHEM.NS,5.26,2.48,1.21,1,Basic Materials
TATACOFFEE.NS,11.4,5.43,0.71,1,Consumer Defensive
TCS.NS,38.17,21.42,1.11,1,Technology
TATACONSUM.NS,5.16,3.84,0.52,1,Consumer Defensive
TATAPOWER.NS,7.19,2.88,0.69,1,Utilities
RAMCOCEM.NS,14.6,6.95,0.29,1,Basic Materials
THYROCARE.NS,44.96,25.98,2.25,0,Healthcare
TORNTPOWER.NS,12.78,5.66,2.0,1,Utilities
ULTRACEMCO.NS,14.66,7.72,0.51,1,Basic Materials
VGUARD.NS,18.23,10.27,0.45,1,Industrials
VAKRANGEE.NS,3.28,1.67,0.25,1,Technology
VALIANTORG.NS,25.11,13.21,0.18,1,Basic Materials
VTL.NS,18.16,9.74,2.63,1,Consumer Cyclical
VEDL.NS,20.16,6.66,7.53,0,Basic Materials
VENKEYS.NS,25.9,13.14,0.68,1,Consumer Defensive
VOLTAS.NS,12.4,6.01,0.5,1,Industrials
WELCORP.NS,16.64,4.49,4.2,0,Basic Materials
WELSPUNIND.NS,20.05,8.34,0.11,1,Consumer Cyclical
WHIRLPOOL.NS,21.23,4.8,0.22,1,Consumer Cyclical
WIPRO.NS,19.63,9.15,0.16,1,Technology
ZENSARTECH.NS,13.69,9.07,1.01,1,Technology
ECLERX.NS,23.88,15.73,0.05,1,Technology
